"Podcast: Globaalsed eestlased" ; 543 ; 35
;;; "2. lugu - "Avengers: Infinity War"" ; 30 ; 0 ; 0 ; 0
;;; "1. lugu - "A Quiet Place" ja ambient videomängud" ; 54 ; 0 ; 1 ; 0
;;; "0. lugu - "The Grand Tour" ja "A Quiet Place"" ; 30 ; 0 ; 1 ; 0
"Mõtteaine" ; 153 ; 2
;;; "02.04.2018 (Facebook ning sinu andmed veebis)" ; 398 ; 1 ; 1 ; 0
;;; "27.03.2018 (Abistamine ja teiste eludesse sekkumine)" ; 465 ; 0 ; 1 ; 0
"Naistejutud" ; 216 ; 50
;;; "66. saade (8.09.2018): kas meest on võimalik ilusaks juua?" ; 845 ; 0 ; 2 ; 1
;;; "65. saade (25.08.2018) in English!: Louis Zezeraniga naistest, deitimisest ja keskeakriisist" ; 1013 ; 0 ; 2 ; 0
;;; "64. saade (18.08.2018): paljastame sekspoe telgitagused!" ; 1364 ; 0 ; 2 ; 0
;;; "63. saade (11.08.2018): Naistejutud otse voodist!" ; 732 ; 0 ; 0 ; 0
;;; "62. saade (4.08.2018): Mida teha, kui seksiisu ära kaob?" ; 1160 ; 0 ; 1 ; 0
;;; "61. saade (21.07.2018): Mis tunne on olla paks?" ; 1096 ; 0 ; 1 ; 0
;;; "60. saade (14.07.2018): Võtame luubi alla petmise!" ; 1259 ; 0 ; 2 ; 0
;;; "59. saade (07.07.2018): kas jalgpall on parem kui seks?" ; 755 ; 0 ; 0 ; 0
;;; "58. saade (30.06.2018): Miks mõnikord naised end mehe jaoks totaalselt muudavad?" ; 1102 ; 0 ; 1 ; 0
;;; "57. saade (21.06.2018): Kirjanik Triin Tammert õpetab, kuidas märke lugeda ja elu usaldada" ; 1092 ; 0 ; 2 ; 0
;;; "56. saade (14.06.2018): Avameelselt... abordist" ; 1110 ; 0 ; 3 ; 0
;;; "55. saade (09.06.2018). Kuidas lahkuminekust üle saada?" ; 1041 ; 0 ; 3 ; 0
;;; "54. saade: (2.06.2018)Kuidas võtta suhet aeglaselt, kui oled ülepeakaela armunud?" ; 1021 ; 0 ; 2 ; 0
;;; "53. saade (26.05.2018) Mis oleks, kui otsiks eksile ise uue naise?" ; 869 ; 0 ; 0 ; 0
;;; "«Naistejuttude» erisaade! Prints Harry võtab naise! (Ja miks meid see üldse huvitama peaks?)" ; 718 ; 0 ; 2 ; 0
;;; "51. saade (12.05.2018): Miks see rasedus säärane piin peab olema?!" ; 803 ; 0 ; 0 ; 0
;;; "50. saade (5.05.2018). Viis deiti ja kaks pulma" ; 894 ; 0 ; 2 ; 0
;;; "49. saade (28.04.2018): kuidas mitte olla oma keha ori?" ; 1099 ; 0 ; 0 ; 0
;;; "48. saade: Andra Teedega abieluettepanekutest, suhetest ja sellest, mis tegelikult pulmaööl toimub"
;;; "47. saade (14.04.2018): miks mõned sõbrannad noa selga löövad?"
;;; "46. saade (7.04.2018): Miks mehed argpükslikult põgenevad?"
;;; "45. saade (1.04.2018). Kes on lahedamad - Eesti või välismaa mehed?"
;;; "44. saade (24.03.2018): suhte anatoomia ehk kuidas teada, et suhe on õige ja kindel?"
;;; "43. saade (17.03.2018): Seksiklubid - mis seal tegelikult toimub?"
;;; "42. saade (10.03.2018): deitimise algõpetus ja kiirkursus meestele"
;;; "41. saade (3.03.2018): mis on viga hallivarjunditega ehk milline on tõeline BDSM-maailm?"
;;; "40. saade (14.02.2018): miks vallaline olla on häbiasi?"
;;; "39. saade (10.02.2018): Miks on armastus on alati ebavõrdne?"
;;; "Tiiser 10.02: Daki otsustab saatest lahkuda!"
;;; "38. saade (03.02.2018): Miks me valime sittasid mehi?"
;;; "37. saade (27.01.2018): Kas naisel üldse tasub olla enesekindel?"
;;; "36. saade (20.01.2018): Miks armunud inimesed on nii lollakad?"
;;; "Tiiser: millest homme räägime?"
;;; "35. saade (13.01.2018): Kas suure vanusevahega suhe saab töötada?"
;;; "34. saade (6.01.2018): Pannid ja dildod pooleks ehk Kuidas saada üle lahkuminekutest?"
;;; "33. saade (30.12.2017): Ari Matti Mustoneniga meestest ja emotsionaalsetest retakatest"
;;; "32. saade (15.12.2017): Naistejuttude laiv: kõik saladused letti!"
;;; "31. saade (9.12.2017): Naiste kasutamise käsiraamat 2: kuidas on seotud seks ja tülid?"
;;; "30. saade (2.12.2017): Mis te, naised, kurat vingute?!" ; 912 ; 0 ; 2 ; 0
;;; "29. saade (25.11.2017): Naiste kasutamise käsiraamat" ; 1008 ; 0 ; 2 ; 0
;;; "28. saade (18.11.2017) Epp Petronega rändamisest ja elumaagiast" ; 735 ; 0 ; 0 ; 0
;;; "27. saade (11.11.2017) Paljastame kõik meeste saladused!" ; 1099 ; 0 ; 2 ; 0
;;; "26. saade (4.11.2017): miks naised meeste järel nuhivad?" ; 822 ; 0 ; 1 ; 0
;;; "25. saade (21.10.2017) Epp Petronega kirjutamisest ja lastest" ; 724 ; 0 ; 0 ; 0
;;; "24. saade: naine kui toode" ; 1024 ; 0 ; 1 ; 0
;;; "22. saade (30.09.2017): ärevushäired ja kuidas nendega elada" ; 932 ; 0 ; 1 ; 0
;;; "21. saade (23.09.2017): Õnneliku kooselu saladus" ; 891 ; 0 ; 1 ; 0
;;; "20. saade (16.09.2017): Aga kui seks läheb nihu?" ; 1465 ; 0 ; 2 ; 0
;;; "19. saade (9.09.2017): Mis on hea seksi saladus?" ; 3310 ; 0 ; 3 ; 0
